"Perioden";"Bevolking naar geslacht/Totale bevolking (aantal)";"Bevolking naar geslacht/Mannen (aantal)";"Bevolking naar geslacht/Vrouwen (aantal)";"Bevolking naar leeftijd (op 1 januari)/Demografische druk/Totale druk (%)";"Bevolking naar leeftijd (op 1 januari)/Demografische druk/Groene druk (%)";"Bevolking naar leeftijd (op 1 januari)/Demografische druk/Grijze druk (%)";"Bevolking naar leeftijd (op 1 januari)/Gemiddelde leeftijd/Totale bevolking (Jaar)";"Bevolking naar leeftijd (op 1 januari)/Gemiddelde leeftijd/Mannen (Jaar)";"Bevolking naar leeftijd (op 1 januari)/Gemiddelde leeftijd/Vrouwen (Jaar)";"Bevolking naar migratieachtergrond/Totale bevolking (aantal)";"Bevolking naar migratieachtergrond/Nederlandse achtergrond (aantal)";"Bevolking naar migratieachtergrond/Personen met migratieachtergrond/Totaal met migratieachtergrond/Met migratieachtergrond (aantal)";"Bevolking naar migratieachtergrond/Personen met migratieachtergrond/Totaal met migratieachtergrond/Met migratieachtergrond, relatief (%)";"Particuliere huishoudens/Totaal huishoudens (x 1 000)";"Particuliere huishoudens/Eenpersoonshuishoudens (x 1 000)";"Particuliere huishoudens/Meerpersoonshuishoudens (x 1 000)";"Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Personen in institutionele huishoudens (x 1 000)";"Bevolkingsgroei/Totale bevolkingsgroei (aantal)";"Bevolkingsgroei/Totale bevolkingsgroei, relatief (per 1 000 inwoners)";"Bevolkingsdichtheid (aantal)"
"1950";10026773;4998251;5028522;81,9;67,9;14;30,8;30,3;31,3;10026773;;;;2535;245;2290;3,93;;173507;17,3;309
"1960";11417254;5686152;5731102;88,2;71,4;16,8;31,7;31,1;32,4;11417254;;;;3171;387;2784;3,56;;138754;12,2;352
"1970";12957621;6465081;6492540;85,4;66,6;18,8;32,5;31,6;33,4;12957621;;;;3986;679;3307;3,21;;161809;12,5;384
"1980";14091014;6994280;7096734;75,2;55,1;20,1;34,4;33,2;35,6;14091014;;;;5006;1085;3921;2,78;;117572;8,3;415
"1985";14453833;7149620;7304213;67,3;47,3;20;35,6;34,4;36,9;14453833;;;;5613;1556;4057;2,54;290;75597;5,2;426
"1990";14892574;7358482;7534092;62,5;41,7;20,8;36,6;35,3;37,9;14892574;;;;6061;1813;4249;2,42;272;117871;7,9;439
"1995";15424122;7627482;7796640;60,2;39;21,1;37,4;36,1;38,6;15424122;;;;6469;2109;4360;2,35;248;69767;4,5;455
"2000";15863950;7846317;8017633;61,2;39,4;21,9;38,2;37;39,4;15863950;13088648;2775302;17,5;6801;2272;4529;2,3;224;123125;7,8;468
"2005";16305526;8065979;8239547;62,6;39,8;22,8;39;37,9;40;16305526;13182809;3122717;19,2;7091;2449;4642;2,27;213;28684;1,8;483
"2010";16574989;8203476;8371513;64;38,9;25,1;40,1;39,1;41,1;16574989;13215386;3359603;20,3;7386;2670;4717;2,22;209;80810;4,9;491
"2015";16900726;8372858;8527868;67,9;38;29,9;41,3;40,4;42,1;16900726;13235405;3665321;21,7;7665;2868;4797;2,17;245;78394;4,6;502
"2016";16979120;8417135;8561985;68,5;37,9;30,6;41,5;40,6;42,3;16979120;13226829;3752291;22,1;7721;2906;4814;2,17;255;102387;6;504
"2017";17081507;8475102;8606405;69;37,8;31,3;41,6;40,7;42,5;17081507;13218754;3862753;22,6;7794;2961;4833;2,16;245;;;507
