Country;"Life Expectancy";"Well-being (0-10)"
Costa Rica;79.1;7.3
Mexico;76.4;7.3
Colombia;73.7;6.4
Panama;77.2;6.9
Nicaragua;74.3;5.4
Ecuador;75.4;6.0
Jamaica;75.3;5.6
Uruguay;76.9;6.4
El Salvador;72.5;5.9
Argentina;75.9;6.5
Peru;74.1;5.8
Brazil;73.9;6.9
Guatemala;71.4;5.9
Belize;69.8;6.1
Venezuela;73.9;7.1
Chile;81.1;6.6
Dominican Republic;73.1;4.8
Haiti;62.1;4.4
Honduras;72.8;4.6
Suriname;70.8;6.3
Canada;81.7;7.4
Paraguay;72.6;5.8
Bolivia;67.5;6.0
United States of America;78.8;7.0
Trinidad and Tobago;70.1;6.4
Vanuatu;71.3;6.5
Vietnam;75.5;5.5
Bangladesh;70.8;4.7
Thailand;74.1;6.3
Indonesia;68.5;5.4
Philippines;67.9;5.0
Sri Lanka;74.6;4.2
Pakistan;65.7;5.1
New Zealand;81.4;7.2
Nepal;68.8;4.2
Malaysia;74.4;5.9
India;67.3;4.6
Bhutan;68.7;5.6
Japan;83.2;6.0
China;75.4;5.1
Cambodia;67.5;3.9
South Korea;81.3;6.0
Myanmar;65.5;4.4
Australia;82.1;7.2
Hong Kong;83.6;5.5
Mongolia;68.6;4.9
Norway;81.3;7.7
Spain;82.2;6.3
Netherlands;81.2;7.5
Switzerland;82.6;7.8
Denmark;79.8;7.5
United Kingdom;80.4;6.9
Finland;80.4;7.4
Iceland;82.2;7.6
Cyprus;79.8;6.2
Austria;81.0;7.4
France;81.8;6.6
Ireland;80.5;7.0
Germany;80.6;6.7
Malta;80.2;6.0
Italy;82.7;5.8
Sweden;81.8;7.6
Portugal;80.3;5.0
Belgium;80.4;6.9
Greece;80.5;5.1
Luxembourg;81.1;7.0
Palestine;72.6;4.6
Algeria;74.3;5.6
Morocco;73.4;5.0
Israel;81.9;7.1
Iraq;69.0;4.7
Turkey;74.7;5.3
Tunisia;74.6;4.5
Iran;74.8;4.6
Egypt;70.7;4.2
Yemen;63.3;4.1
Lebanon;78.8;4.6
Oman;76.3;6.9
Afghanistan;59.7;3.8
Syria;70.4;3.2
Albania;77.3;5.5
Tajikistan;69.0;4.5
Kyrgyzstan;69.7;5.2
Georgia;74.6;4.3
Croatia;77.0;6.0
Uzbekistan;68.2;6.0
Serbia;74.5;5.2
Romania;74.3;5.2
Slovakia;75.9;5.9
Poland;76.9;5.9
Czech Republic;78.2;6.3
Hungary;74.9;4.7
Ukraine;70.3;5.0
Armenia;74.4;4.3
Bosnia and Herzegovina;76.2;4.8
Montenegro;75.8;5.2
Slovenia;80.0;6.1
Macedonia;75.1;4.6
Belarus;70.9;5.7
Lithuania;72.8;5.8
Bulgaria;73.9;4.2
Kazakhstan;68.6;5.8
Russia;69.5;5.6
Estonia;76.2;5.4
Latvia;73.6;5.1
Turkmenistan;65.3;5.5
Mauritius;74.0;5.5
Ethiopia;62.8;4.6
Zambia;58.4;5.0
Kenya;60.3;4.5
Mozambique;54.3;5.0
Comoros;62.6;4.0
Nigeria;52.1;5.5
Liberia;60.2;4.4
Tanzania;63.5;4.0
Malawi;60.1;4.3
Zimbabwe;53.7;5.0
Senegal;65.4;3.7
Namibia;64.0;4.7
Ghana;61.0;5.1
Rwanda;63.1;3.3
Uganda;57.1;4.3
Republic of Congo;61.0;3.9
Mauritania;62.6;4.7
Burkina Faso;58.0;4.0
Gabon;63.3;4.0
Niger;60.0;3.8
Cameroon;54.6;4.2
Lesotho;48.9;4.9
Botswana;64.2;4.8
Djibouti;61.3;4.4
South Africa;56.3;5.1
Guinea;57.7;3.7
Burundi;55.8;3.4
Swaziland;48.9;4.9
Sierra Leone;49.8;4.5
Cote d'Ivoire;50.8;3.8
Benin;59.2;3.2
Togo;58.6;2.9
Chad;50.8;4
